славянск,россия	Slavyansk-na-Kubani
ярославский район,россия	Yaroslavsky_District,_Yaroslavl_Oblast
тулунский район,россия	Tulunsky_District
медногорск,россия	Mednogorsk
кюренга-ат,россия	Kyureng-At
суражский район,россия	Surazhsky_District
усть-оленек,россия	Ust-Olenyok
воскресенский район,россия	Voskresensky_District,_Saratov_Oblast
усть-джегута,россия	Ust-Dzheguta
нукутский район,россия	Nukutsky_District
звездный,россия	Zvyozdny,_Perm_Krai
железногорск-илимский,россия	Zheleznogorsk-Ilimsky
мглинский район,россия	Mglinsky_District
лоухи,россия	Loukhi
заполярный район,россия	Zapolyarny_District
кузино,россия	Kuzino
улах-ан,россия	Ulakh-An
кардымовский район,россия	Kardymovsky_District
булус,россия	Bulus
рябово,россия	Ryabovo,_Tosnensky_District,_Leningrad_Oblast
даровской район,россия	Darovskoy_District
колвица,россия	Kolvitsa
ликино-дулево,россия	Likino-Dulyovo
корзуново,россия	Korzunovo
рамонский район,россия	Ramonsky_District
митино,россия	Mitino_District
долгоруковский район,россия	Dolgorukovsky_District
доволенский район,россия	Dovolensky_District
орловский район,россия	Orlovsky_District,_Rostov_Oblast
чухлома,россия	Chukhloma
адамовский район,россия	Adamovsky_District
моршанск,россия	Morshansk
новосокольники,россия	Novosokolniki
елабуга,россия	Yelabuga
мамедкал,россия	Mamedkala
александров гай,россия	Alexandrov_Gay
шенталинский район,россия	Shentalinsky_District
кострома,россия	Kostroma
кумертау,россия	Kumertau
тобольск,россия	Tobolsk
имя полина осипенко,россия	Imeni_Poliny_Osipenko_(rural_locality)
омск,россия	Omsk
удачный,россия	Udachny
чукочье,россия	Chukochya
чакыр 2-й,россия	Chakyr_2-y
хелюля,россия	Khelyulya
каспийск,россия	Kaspiysk
боронук,россия	Boronuk
алапаевский район,россия	Alapayevsky_District
бологовский район,россия	Bologovsky_District
гремячинск,россия	Gremyachinsk
большесельский район,россия	Bolsheselsky_District
выборгский район,россия	Vyborgsky_District,_Leningrad_Oblast
богородицкий район,россия	Bogoroditsky_District
бобровский район,россия	Bobrovsky_District
лаганить,россия	Lagan,_Russia
даркылах,россия	Darkylakh
белоусово,россия	Belousovo,_Kaluga_Oblast
пиндуша,россия	Pindushi
ларево,россия	Laryovo,_Moscow_Oblast
починковский район,россия	Pochinkovsky_District,_Smolensk_Oblast
махачкала,россия	Makhachkala
бабаево,россия	Babayevo_(town),_Vologda_Oblast
пыть-ях,россия	Pyt-Yakh
благовещенск,россия	Blagoveshchensk
хата,россия	Khaty
клепиковский район,россия	Klepikovsky_District
алысард,россия	Alysardakh,_Verkhoyansky_District,_Sakha_Republic
казачинско-ленский район,россия	Kazachinsko-Lensky_District
назия,россия	Naziya
сапожковский район,россия	Sapozhkovsky_District
старый русс,россия	Staraya_Russa
сатагай,россия	Satagay,_Vilyuysky_District,_Sakha_Republic
асекеевский район,россия	Asekeyevsky_District
щелково,россия	Shchyolkovo
