буэнос-айрес,аргентина	Buenos_Aires
вивель-дель-рио-мартин,испания	Vivel_del_Río_Martín
айдомаджоре,италия	Aidomaggiore
бассано-романо,италия	Bassano_Romano
ареццо,италия	Arezzo
вальдастильяс,испания	Valdastillas
батман,город,турция	Batman,_Turkey
алькара-ли-фузи,италия	Alcara_li_Fusi
барделло,италия	Bardello
альта-виста,оттава,канада	Alta_Vista,_Ottawa
вилькия,литва	Vilkija
вальгризанш,италия	Valgrisenche
бадия-павезе,италия	Badia_Pavese
альфорке,испания	Alforque
агридженто,италия	Agrigento
аскурра,бразилия	Ascurra
бьяндронно,италия	Biandronno
агилон,испания	Aguilón
вронки,польша	Wronki
виллагранде-стризайли,италия	Villagrande_Strisaili
брессанвидо,италия	Bressanvido
бомонт,техас,соединённые штаты америки,сша,америка	Beaumont,_Texas
баффало-лейк,город,миннесота,соединённые штаты америки,сша,америка	Buffalo_Lake,_Minnesota
валлада-агордина,италия	Vallada_Agordina
байло,испания	Bailo,_Spain
бжеско,польша	Brzesko
влоцлавек,польша	Włocławek
блоне,польша,польша	Błonie
вильялуэнга-де-ла-вега,испания	Villaluenga_de_la_Vega
африц-ам-зе,австрия	Afritz_am_See
ванцоне-кон-сан-карло,италия	Vanzone_con_San_Carlo
вито-д’азио,италия	Vito_d'Asio
аццио,италия	Azzio
вильяльба-де-гуардо,испания	Villalba_de_Guardo
адамов,район,бланско,чехия	Adamov_(Blansko_District)
антигуэдад,испания	Antigüedad
венгрув,польша	Węgrów
андретта,италия	Andretta
ангьяри,италия	Anghiari
ала-деи-сарди,италия	Alà_dei_Sardi
андало-валтеллино,италия	Andalo_Valtellino
боргомале,италия	Borgomale
бузано,италия	Busano
винден-ам-зе,австрия	Winden_am_See
бонаруйе,иран	Banaruiyeh
аркуата-скривия,италия	Arquata_Scrivia
ветцикон,швейцария	Wetzikon
вилла-сан-секондо,италия	Villa_San_Secondo
бин-касим,пакистан	Bin_Qasim_Town
будённовск,россия,ставропольский край	Budyonnovsk
адзельо,италия	Azeglio
вилланова-монтелеоне,италия	Villanova_Monteleone
бад-зауэрбрунн,австрия	Bad_Sauerbrunn
вайкинг,город,миннесота,соединённые штаты америки,сша,америка	Viking,_Minnesota
арта-терме,италия	Arta_Terme
бьяндрате,италия	Biandrate
борбона,италия	Borbona
бониту,мату-гросу-ду-сул,бразилия	Bonito,_Mato_Grosso_do_Sul
ашби,город,миннесота,соединённые штаты америки,сша,америка	Ashby,_Minnesota
ангерн-ан-дер-марх,австрия	Angern_an_der_March
балтимор,соединённые штаты америки,сша,америка	Baltimore
арика,чили	Arica
айзоне,италия	Aisone
вилла-бискосси,италия	Villa_Biscossi
белый,город,россия,тверская область	Bely,_Tver_Oblast
воттиньяско,италия	Vottignasco
альбиньязего,италия	Albignasego
бейкерсфилд,калифорния,соединённые штаты америки,сша,америка	Bakersfield,_California
аббер,иран	Ab_Bar
бейт-шемеш,израиль	Beit_Shemesh
абу-салабих,	Abu_Salabikh
аиджал,индия	Aizawl
виноградов,город,украина	Vynohradiv
барболес,испания	Bárboles
вила-родона,испания	Vila-rodona
баакуба,ирак	Baqubah
виньегра-де-моранья,испания	Viñegra_de_Moraña
агуачика,колумбия	Aguachica
бртнице,город,чехия	Brtnice
аквинкум,	Aquincum
волгоград,россия,волгоградская область	Volgograd
берберана,испания	Berberana
вильятурьель,	Villaturiel
вильяфранка-де-кордова,испания	Villafranca_de_Córdoba
вакри,италия	Vacri
агура-хиллз,соединённые штаты америки,сша,америка	Agoura_Hills,_California
бонефро,италия	Bonefro
аренс-де-льедо,испания	Arens_de_Lledó
бергантино,италия	Bergantino
вистарино,италия	Vistarino
бенна,италия	Benna,_Piedmont
верхняя тура,россия,свердловская область	Verkhnyaya_Tura
апшеронск,россия,краснодарский край	Apsheronsk
вильяеррерос,испания	Villaherreros
бидзен,	Bizen,_Okayama
вилладоссола,италия	Villadossola
борсо-дель-граппа,италия	Borso_del_Grappa
вилла-сан-джованни-ин-туша,италия	Villa_San_Giovanni_in_Tuscia
букиттинги,индонезия	Bukittinggi
вильянуэва-де-теба,испания	Villanueva_de_Teba
агидель,россия,башкортостан	Agidel
вильярроя-де-ла-сьерра,испания	Villarroya_de_la_Sierra
бурбагена,испания	Burbáguena
аллисте,италия	Alliste
большой камень,россия,приморский край	Bolshoy_Kamen
аликун-де-ортега,испания	Alicún_de_Ortega
баски,италия,италия	Baschi
археймар,	Árheimar
баньоли-ди-сопра,италия	Bagnoli_di_Sopra
балокко,италия	Balocco
вельке-капушаны,словакия	Veľké_Kapušany
баабон-де-эсгева,испания	Bahabón_de_Esgueva
вельки-шенов,чехия	Velký_Šenov
брион,испания,	Brión
высмежице,польша	Wyśmierzyce
барри,город,миннесота,соединённые штаты америки,сша,америка	Barry,_Minnesota
анкуд,чили	Ancud
визано,италия	Visano
варизелла,италия	Varisella
беллицци,италия	Bellizzi
белиз,город,белиз	Belize_City
бадолатоса,испания	Badolatosa
вильякиламбре,испания	Villaquilambre
бентонвилл,соединённые штаты америки,сша,америка	Bentonville,_Arkansas
вильямоль,	Villamol
вилла-сан-пьетро,италия	Villa_San_Pietro
бухарест,румыния	Bucharest
вальо-базиликата,италия	Vaglio_Basilicata
анцано-дель-парко,италия	Anzano_del_Parco
альборхе,испания	Alborge
вальехо,калифорния,соединённые штаты америки,сша,америка	Vallejo,_California
вишано,италия	Visciano
банска-штьявница,словакия	Banská_Štiavnica
аламогордо,	Alamogordo,_New_Mexico
вилладеати,италия	Villadeati
абусир,	Abusir
бергланд,австрия	Bergland,_Austria
аладрен,испания	Aladrén
буя,италия	Buja
ахар,иран	Ahar
ардаль,иран	Ardal
беналуа-де-лас-вильяс,испания	Benalúa_de_las_Villas
бернате-тичино,италия	Bernate_Ticino
велье,италия,италия	Veglie
афины,греция	Athens
ареополис,греция	Areopoli
виго-ди-кадоре,италия	Vigo_di_Cadore
базиано,италия	Basiano
боттичино,италия	Botticino
вестервик,швеция	Västervik
брафим,испания	Bràfim
аквилея,италия	Aquileia
бенетутти,италия	Benetutti
бартоломеберг,австрия	Bartholomäberg
бреббья,италия	Brebbia
вадзима,	Wajima,_Ishikawa
армянск,	Armyansk
венеция,италия	Venice
варберг,швеция,швеция	Varberg
арменто,италия	Armento
безенцоне,италия	Besenzone
вилланова-дель-геббо,италия	Villanova_del_Ghebbo
врбовец,хорватия	Vrbovec
ваднес-хайтс,город,миннесота,соединённые штаты америки,сша,америка	Vadnais_Heights,_Minnesota
аньоне,италия	Agnone
болоньола,италия	Bolognola
боубеллс,дакота,северная дакота,соединённые штаты америки,сша,америка	Bowbells,_North_Dakota
али-терме,италия	Alì_Terme
боргоново-валь-тидоне,италия	Borgonovo_Val_Tidone
валкеакоски,	Valkeakoski
виндигштайг,австрия	Windigsteig
вайтенсфельд-им-гуркталь,австрия	Weitensfeld_im_Gurktal
вилла-фаральди,италия	Villa_Faraldi
варна,болгария	Varna
беттлс,аляска,соединённые штаты америки,сша,америка	Bettles,_Alaska
алькала-де-гурреа,испания	Alcalá_de_Gurrea
бабольсер,иран	Babolsar
аксум,город,эфиопия	Axum
бутурлиновка,россия,воронежская область	Buturlinovka
бад-санкт-леонхард-им-лафантталь,австрия	Bad_Sankt_Leonhard_im_Lavanttal
бодетт,город,миннесота,соединённые штаты америки,сша,америка	Baudette,_Minnesota
больсена,италия	Bolsena
ванцаго,италия	Vanzago
веккьяно,италия	Vecchiano
аурайя,индия	Auraiya
бопфинген,германия	Bopfingen
вико-экуэнсе,италия	Vico_Equense
алкобаса,город,	Alcobaça,_Portugal
аркуа-петрарка,италия	Arquà_Petrarca
вилланова-дель-баттиста,италия	Villanova_del_Battista
бодьо-ломнаго,италия	Bodio_Lomnago
аллахабад,	Allahabad
архес,испания	Argés
варпалота,венгрия	Várpalota
вилламирольо,италия	Villamiroglio
асин,испания	Asín,_Aragon
верхотурье,	Verkhoturye
вильяверде-дель-монте,испания	Villaverde_del_Monte
вейи,	Veii
берголо,италия	Bergolo
бжостек,город,польша	Brzostek
вейхерово,польша	Wejherowo
вилланова-мондови,италия	Villanova_Mondovì
аурангабад,город,махараштра,индия	Aurangabad,_Maharashtra
бела-под-бездезем,чехия	Bělá_pod_Bezdězem
агилар-дель-альфамбра,испания	Aguilar_del_Alfambra
вайано-кремаско,италия	Vaiano_Cremasco
бэйань,китайская народная республика,китай,кнр	Bei'an
баррачина,испания	Barrachina
бонаркадо,италия	Bonarcado
борджалло,италия	Borgiallo
аутильо-де-кампос,испания	Autillo_de_Campos
архонилья,испания	Arjonilla
ангвиллара-сабация,италия	Anguillara_Sabazia
бхинга,индия	Bhinga
бромберг,австрия,нижняя австрия,австрия	Bromberg,_Lower_Austria
валье-де-лас-навас,испания	Valle_de_las_Navas
вильянуэва-дель-рио-и-минас,испания	Villanueva_del_Río_y_Minas
аркот,индия	Arcot,_Vellore
балтойи-воке,литва	Baltoji_Vokė
андрыхув,польша	Andrychów
больбено,италия	Bolbeno
валье-де-лоса,испания	Valle_de_Losa
вейс,хузестан,иран	Veys
