драва,хорватия,мута (словения)	Drava
земенбах,,	Seemenbach
зальце,,	Salze_(Bega)
дравиня,,	Dravinja
грона,,	Grosne_(river)
олше,,	Olza_(river)
финтау,,	Fintau
варта,,	Warta
зур,река,,	Sur_(river)
гоаскоран,сальвадор,	Goascorán_River
сарата,река,,	Sarata_River
брагинка,,	Braginka_River
розенауэ,,	Rosenaue
большая золотанка,,	Bolshaya_Zolotanka_River
аныль,,	Anyl_River
уржумка,река,,	Urzhumka_River
кноллербах,,	Knollerbach
эрнц-бланхе,,	White_Ernz
березайка,река,,	Berezayka_River
огрже,,	Ohře
гиль,река,,	Guil
броадкилл,соединённые штаты америки,	Broadkill_River
траун,река,,	Traun_(river)
б,река,румыния,ечка,зренянин,фэджет,тимишоара,рекаш	Bega_River,_Romania_and_Serbia
харьков,река,,	Kharkiv_River
большой чабис,,	Bolshoy_Chabes_River
тахо,река,португалия,	Tagus
мапуту,река,мозамбик,	Maputo_River
агу,река,,	Agout
флатхед,река,,	Flathead_River
нотване,ботсвана,	Notwane_River
уилламетт,лейн (округ, орегон),	Willamette_River
саскачеван,река,,	Saskatchewan_River
хондерфельдбах,,	Hohnderfeldbach
бобрич,река,,	Bobritzsch_(river)
чит,река,соединённые штаты америки,	Cheat_River
аббабах,,	Abbabach
коксоак,канада,	Koksoak_River
шоша,,	Shosha_River
меттер,,	Metter_(river)
асфе,,	Asphe
шильтах,река,,	Schiltach_(river)
райхенбехле,,	Reichenbächle_(Schiltach)
албион,река,соединённые штаты америки,	Albion_River
большая хета,,	Bolshaya_Kheta_River
венкбах,,	Wenkbach_(Lahn)
кутим,,	Kutim_River
патсойоки,,	Paatsjoki
рауэ,,	Rahue_River
кванго,ангола,	Kwango_River
гёттхесбах,,	Göttchesbach
иппари,,	Ippari
андома,,	Andoma_River
мундо,река,,	Mundo_(river)
яугила,,	Jaugila
россель,река,,	Rossel_(Saar)
линдах,,	Lindach
тихвинка,река,,	Tikhvinka_River
волчина,,	Volchina_River
тирбах,река,,	Thierbach
труппах,,	Truppach_(Wiesent)
литл-колорадо,уайт-маунтинс (аризона),	Little_Colorado_River
мельббах,,	Melbbach
могами,река,япония,	Mogami_River
мопан,,	Mopan_River
стоход,река,,	Stokhid_River
була,река,,	Bula_River
кифербах,,	Kieferbach
с,река,польша,	San_(river)
дрин,республика косово,	Drin_(river)
свете,,	Svete_(river)
зубра,река,,	Zubra_River
шошма,,	Shoshma_River
бурбенса,,	Bourbince
хенсбах,,	Hensbach
сезия,,	Sesia
большой цивиль,,	Tsivil_River
вурм,река,,	Wurm
логен,,	Numedalslågen
вятка,река,,	Vyatka_River
кокосинг,,	Kokosing_River
палана,река,,	Palana_River
пякупур,,	Pyakupur_River
бросна,,	River_Brosna
кник,река,,	Knik_River
джордж,река,,	George_River_(Quebec)
ваал,река,нидерланды,горинхем,неймеген,тил,залтбоммел	Waal_(river)
