Ёдо	http://dbpedia.org/resource/Yodo_River
Ёжуга (приток Пинеги)	http://dbpedia.org/resource/Yezhuga_River
Ёлма (приток Вишеры)	http://dbpedia.org/resource/Yelva_River
Абава	http://dbpedia.org/resource/Abava
Абакан (река)	http://dbpedia.org/resource/Abakan_River
Абакашис	http://dbpedia.org/resource/Abacaxis_River
Абах	http://dbpedia.org/resource/Aabach_(Afte)
Аббабах	http://dbpedia.org/resource/Abbabach
Аброкксбах	http://dbpedia.org/resource/Abrocksbach
Абукума	http://dbpedia.org/resource/Abukuma_River
Абуна (река)	http://dbpedia.org/resource/Abuna_River
Абэ (река)	http://dbpedia.org/resource/Abe_River
Аверон (река)	http://dbpedia.org/resource/Aveyron_(river)
Авизио	http://dbpedia.org/resource/Avisio
Авока (река, Ирландия)	http://dbpedia.org/resource/River_Avoca
Авонбег	http://dbpedia.org/resource/River_Avonbeg
Авонмор	http://dbpedia.org/resource/River_Avonmore
Авр (приток Соммы)	http://dbpedia.org/resource/Avre_(Somme)
Авр (приток Эра)	http://dbpedia.org/resource/Avre_(Eure)
Ага (река)	http://dbpedia.org/resource/Aga_River
Агано (река)	http://dbpedia.org/resource/Agano_River
Аггер (река)	http://dbpedia.org/resource/Agger_(river)
Агеда (река)	http://dbpedia.org/resource/Águeda_(river)
Аглуона	http://dbpedia.org/resource/Agluona_(Akmenė)
Агонья	http://dbpedia.org/resource/Agogna
Агу (река)	http://dbpedia.org/resource/Agout
Агуан	http://dbpedia.org/resource/Aguán_River
Агусан	http://dbpedia.org/resource/Agusan_River
Адда	http://dbpedia.org/resource/Adda_(river)
Аделейд (река)	http://dbpedia.org/resource/Adelaide_River
Адзьва (река)	http://dbpedia.org/resource/Adzva_River
Адидже	http://dbpedia.org/resource/Adige
Адур	http://dbpedia.org/resource/Adour
Азат (река)	http://dbpedia.org/resource/Azat_River
Азе	http://dbpedia.org/resource/Ahse
Азельбах	http://dbpedia.org/resource/Aselbach
Азерг	http://dbpedia.org/resource/Azergues
Азо (река)	http://dbpedia.org/resource/Aso_(river)
Айах	http://dbpedia.org/resource/Eyach_(Enz)
Айб (река)	http://dbpedia.org/resource/Eyb
Айвиексте	http://dbpedia.org/resource/Aiviekste
Айвишак	http://dbpedia.org/resource/Ivishak_River
Айдер (река)	http://dbpedia.org/resource/Eider_(river)
Айзак	http://dbpedia.org/resource/Eisack
Айккумер-Мюленбах	http://dbpedia.org/resource/Eickumer_Mühlenbach
Айова (река)	http://dbpedia.org/resource/Iowa_River
Айпбах	http://dbpedia.org/resource/Eipbach
Айсбах (приток Кохера)	http://dbpedia.org/resource/Eisbach_(Kocher)
Айсбах (приток Рейна)	http://dbpedia.org/resource/Eisbach_(Rhine)
Айсикл-Крик	http://dbpedia.org/resource/Icicle_Creek
Айстрингхаузер-Бах	http://dbpedia.org/resource/Eistringhauser_Bach
Айтер	http://dbpedia.org/resource/Eiter
Айтерах	http://dbpedia.org/resource/Aiterach
Айтра	http://dbpedia.org/resource/Eitra
Айтрах (река)	http://dbpedia.org/resource/Aitrach_(Iller)
Айтценбах	http://dbpedia.org/resource/Aitzenbach
Айфгенбах	http://dbpedia.org/resource/Eifgenbach
Айх	http://dbpedia.org/resource/Aich_(river)
Айхельбах	http://dbpedia.org/resource/Eichelbach_(Nidda)
Айхенвальдграбен	http://dbpedia.org/resource/Eichenwaldgraben
Айш (приток Альзета)	http://dbpedia.org/resource/Eisch
Айя (приток Колвы)	http://dbpedia.org/resource/Ayya_River
Акари (приток Павуны)	http://dbpedia.org/resource/Acari_River_(Rio_de_Janeiro)
Аконкагуа (река)	http://dbpedia.org/resource/Aconcagua_River
Акри (река)	http://dbpedia.org/resource/Acre_River
Акстбах	http://dbpedia.org/resource/Axtbach
Аксу (приток Тарима)	http://dbpedia.org/resource/Aksu_River_(Xinjiang)
Аксу (приток Чу)	http://dbpedia.org/resource/Ak-Suu_River_(Chu)
Аксу (река, впадает в Балхаш)	http://dbpedia.org/resource/Aksu_River_(Kazakhstan)
Актай (приток Волги)	http://dbpedia.org/resource/Aktay_River
Акчим	http://dbpedia.org/resource/Akchim_River
Ала-Арча (река)	http://dbpedia.org/resource/Ala-Archa_River
Алабама (река)	http://dbpedia.org/resource/Alabama_River
Алагнак	http://dbpedia.org/resource/Alagnak_River
Алазани	http://dbpedia.org/resource/Alazani
Алакнанда	http://dbpedia.org/resource/Alaknanda_River
Аламо (река)	http://dbpedia.org/resource/Alamo_River
Аланд (река)	http://dbpedia.org/resource/Aland_(river)
Албион (река)	http://dbpedia.org/resource/Albion_River
Алгама	http://dbpedia.org/resource/Algama_River
Алгети	http://dbpedia.org/resource/Algeti_River
Алдан (река)	http://dbpedia.org/resource/Aldan_River
Александр (река)	http://dbpedia.org/resource/Nahal_Alexander
Алена	http://dbpedia.org/resource/Alène
Алерсбах (верхний приток Кинцига)	http://dbpedia.org/resource/Ahlersbach_(Kinzig,_Schlüchtern-Herolz)
Алерсбах (нижний приток Кинцига)	http://dbpedia.org/resource/Ahlersbach_(Kinzig,_Schlüchtern-Niederzell)
Аллагаш	http://dbpedia.org/resource/Allagash_River
Аллаиха	http://dbpedia.org/resource/Allaikha_River
Аллах-Юнь (река)	http://dbpedia.org/resource/Allakh-Yun_River
Аллегейни (река)	http://dbpedia.org/resource/Allegheny_River
Аллен (река)	http://dbpedia.org/resource/Allaine_(river)
Алоля	http://dbpedia.org/resource/Alolya_River
Алсей	http://dbpedia.org/resource/Alsea_River
Алсек	http://dbpedia.org/resource/Alsek_River
Алтаэльв	http://dbpedia.org/resource/Altaelva
Алфей (река)	http://dbpedia.org/resource/Alfeios
Альб (верхний приток Рейна)	http://dbpedia.org/resource/Alb_(Northern_Black_Forest)
Альб (нижний приток Рейна)	http://dbpedia.org/resource/Alb_(Southern_Black_Forest)
Альбаумер-Бах	http://dbpedia.org/resource/Albaumer_Bach
Альбах (приток Веттера)	http://dbpedia.org/resource/Albach_(Wetter)
Альбах (приток Майна)	http://dbpedia.org/resource/Aalbach_(Main)
Альбек (река)	http://dbpedia.org/resource/Aalbek_(Hemmelsdorfer_See)
Алье (река)	http://dbpedia.org/resource/Allier_(river)
Альзенц (река)	http://dbpedia.org/resource/Alsenz_(river)
Альзет	http://dbpedia.org/resource/Alzette
Алькантара (река)	http://dbpedia.org/resource/Alcantara_(river)
Альма	http://dbpedia.org/resource/Alma_River_(Crimea)
Альме (река)	http://dbpedia.org/resource/Alme_(river)
Альмендарес	http://dbpedia.org/resource/Almendares_River
Альна	http://dbpedia.org/resource/Allna
Альстер (приток Ица)	http://dbpedia.org/resource/Alster_(Itz)
Альстер (приток Эльбы)	http://dbpedia.org/resource/Alster
Альта (река)	http://dbpedia.org/resource/Alta_River
Альтенау (приток Альме)	http://dbpedia.org/resource/Altenau_(Alme)
Альтмюль	http://dbpedia.org/resource/Altmühl
Альц	http://dbpedia.org/resource/Alz
Альякмон	http://dbpedia.org/resource/Haliacmon
Амазонка	http://dbpedia.org/resource/Amazon_River
Амаргоса	http://dbpedia.org/resource/Amargosa_River
Амба (река, впадает в Амурский залив)	http://dbpedia.org/resource/Amba_River
Амга	http://dbpedia.org/resource/Amga_River
Амгунь	http://dbpedia.org/resource/Amgun_River
Амгуэма (река)	http://dbpedia.org/resource/Amguema_River
Амедичи	http://dbpedia.org/resource/Amedichi_River
Амель (река)	http://dbpedia.org/resource/Amblève_(river)
Американ-Ривер (приток Бемпинга)	http://dbpedia.org/resource/American_River_(Washington)
Американ-Ривер (приток Сакраменто)	http://dbpedia.org/resource/American_River
Амме	http://dbpedia.org/resource/Amme
Аммер (приток Неккара)	http://dbpedia.org/resource/Ammer_(Neckar)
Ампер (река)	http://dbpedia.org/resource/Amper
Ампква (река)	http://dbpedia.org/resource/Umpqua_River
Амстел	http://dbpedia.org/resource/Amstel
Амуд	http://dbpedia.org/resource/Nahal_Amud
Амударья	http://dbpedia.org/resource/Amu_Darya
Амур	http://dbpedia.org/resource/Amur_River
Анабар	http://dbpedia.org/resource/Anabar_River
Анадырь (река)	http://dbpedia.org/resource/Anadyr_River
Анакостия (река)	http://dbpedia.org/resource/Anacostia_River
Анактувук	http://dbpedia.org/resource/Anaktuvuk_River
Анапо	http://dbpedia.org/resource/Anapo
Анвик (река)	http://dbpedia.org/resource/Anvik_River
Ангара	http://dbpedia.org/resource/Angara_River
Ангель	http://dbpedia.org/resource/Angel_(river)
Ангербах	http://dbpedia.org/resource/Angerbach_(Rhein)
Андерсон (река)	http://dbpedia.org/resource/Anderson_River_(Northwest_Territories)
Андийское Койсу	http://dbpedia.org/resource/Andi_Koysu
Андога	http://dbpedia.org/resource/Andoga_River
Андома	http://dbpedia.org/resource/Andoma_River
Андроскоггин (река)	http://dbpedia.org/resource/Androscoggin_River
Ане (ручей)	http://dbpedia.org/resource/Ahne_(Fulda)
Аниак (река)	http://dbpedia.org/resource/Aniak_River
Аниакчак (река)	http://dbpedia.org/resource/Aniakchak_River
Анимас	http://dbpedia.org/resource/Animas_River
Аниш (приток Волги)	http://dbpedia.org/resource/Anish_River
Анкобра	http://dbpedia.org/resource/Ankobra_River
Аннаполис (река)	http://dbpedia.org/resource/Annapolis_River
Анненбах	http://dbpedia.org/resource/Annenbach
Ансэба (река)	http://dbpedia.org/resource/Anseba_River
Антрефф	http://dbpedia.org/resource/Antrift
Аныль	http://dbpedia.org/resource/Anyl_River
Аньене	http://dbpedia.org/resource/Aniene
Апалачикола (река)	http://dbpedia.org/resource/Apalachicola_River
Аппоматтокс (река)	http://dbpedia.org/resource/Appomattox_River
Апуре (река)	http://dbpedia.org/resource/Apure_River
Апуримак	http://dbpedia.org/resource/Apurímac_River
