вильферсдорф	Wilfersdorf
аира,город	Aira,_Kagoshima_(Aira)
аркаде	Arcade,_Veneto
белиатор	Beliatore
виньола-фалезина	Vignola-Falesina
бови,миннесота	Bovey,_Minnesota
баньоло-мелла	Bagnolo_Mella
вильяйерно-моркильяс	Villayerno_Morquillas
вейс	Veys
арден-хилс,миннесота	Arden_Hills,_Minnesota
бикин,город	Bikin
ама,город	Ama,_Aichi
бафк	Bafq
боза	Bosa
вильериас-де-кампос	Villerías_de_Campos
вайкендорф	Weikendorf
аншан	Anshan_(Persia)
вировитица	Virovitica
вильяркемадо	Villarquemado
бруццано-дзеффирио	Bruzzano_Zeffirio
аусерфильгратен	Außervillgraten
ахваз	Ahvaz
вилла-кортезе	Villa_Cortese
вилларбойт	Villarboit
альдеануэва-де-сан-бартоломе	Aldeanueva_de_San_Bartolomé
вердзеньис	Verzegnis
астен,австрия	Asten,_Austria
албани	Albany,_Western_Australia
бальдельоу	Baldellou
брея,италия	Breia
вулкан	Vulcan,_Hunedoara
арозио,италия	Arosio
биккари	Biccari
альдеануэва-де-барбарроя	Aldeanueva_de_Barbarroya
бинаско	Binasco
вайстрах	Weistrach
бернате-тичино	Bernate_Ticino
бенестаре	Benestare
блеса	Blesa
амрисвиль	Amriswil
бивер-бей,город	Beaver_Bay,_Minnesota
байро	Bairo
бакингхем	Buckingham,_Quebec
вильядьего	Villadiego
алавус	Alavus
вальдепеньяс-де-хаэн	Valdepeñas_de_Jaén
бикин	Bikin
блайт,калифорния	Blythe,_California
врутки	Vrútky
болотана	Bolotana
вестервик	Västervik
биски,город	Biscay,_Minnesota
валлекорса	Vallecorsa
вальморея	Valmorea
бейнаско	Beinasco
бьяндрате	Biandrate
ари,провинция	Ari,_Abruzzo
айгуамурсия	Aiguamúrcia
векшняй	Viekšniai
буе	Buje
булл-шолс,арканзас	Bull_Shoals,_Arkansas
вргорац	Vrgorac
бахмач	Bakhmach
адамс,миннесота	Adams,_Minnesota
бейрам	Beyram,_Iran
волин,город	Wolin_(town)
азуни,сардиния	Asuni
альверня	Alwernia
вильянди	Viljandi
агилар-дель-альфамбра	Aguilar_del_Alfambra
бакурцихе	Bakurtsikhe
артштеттен-пёбринг	Artstetten-Pöbring
бельведере-мариттимо	Belvedere_Marittimo
акируно	Akiruno,_Tokyo
бардонеккья	Bardonecchia
барруэло-де-сантульян	Barruelo_de_Santullán
адак	Adak,_Alaska
аличе-кастелло	Alice_Castello
амбикапур	Ambikapur,_India
брейди,техас	Brady,_Texas
берлинго	Berlingo
аргис	Arguis
аньоне	Agnone
валдай	Valday
вукосавле	Vukosavlje
вевис	Vievis
водице	Vodice,_Croatia
барни,комо	Barni
бадгастайн	Bad_Gastein
батерст,австралия	Bathurst,_New_South_Wales
абингдон,иллинойс	Abingdon,_Illinois
вергас,город	Vergas,_Minnesota
агдам,город	Agdam
бисаурри	Bisaurri
вильяобиспо-де-отеро	Villaobispo_de_Otero
винсхотен	Winschoten
вело-д’астико	Velo_d'Astico
ариэль	Ariel_(city)
бриджпорт	Bridgeport,_Connecticut
альби	Albi,_Calabria
брушано	Brusciano
алфа,миннесота	Alpha,_Minnesota
абаша	Abasha
барроу	Barrow,_Alaska
бова-марина	Bova_Marina
альтенмаркт-им-понгау	Altenmarkt_im_Pongau
амбролаури	Ambrolauri
азуса	Azusa,_California
ардаули	Ardauli
альхусен	Aljucén
айсанти,миннесота	Isanti,_Minnesota
брайслин	Bricelyn,_Minnesota
букоба	Bukoba
вильота-дель-парамо	Villota_del_Páramo
вёртерберг	Wörterberg
аннаполис	Annapolis,_Maryland
андретта	Andretta
ансо	Ansó
бридж-сити	Bridge_City,_Texas
бенкулу,город	Bengkulu_(city)
абакалики	Abakaliki
альберт-ли,город	Albert_Lea,_Minnesota
бадия-полезине	Badia_Polesine
валлерн	Wallern_im_Burgenland
арканзас-сити	Arkansas_City,_Arkansas
вильянуэва-де-ла-серена	Villanueva_de_la_Serena
банлунг	Banlung
аркадия	Arcadia,_California
бардо,нижнесилезское воеводство	Bardo,_Poland
вилла-сан-секондо	Villa_San_Secondo
бечов-над-теплоу	Bečov_nad_Teplou
ариано-ирпино	Ariano_Irpino
бекли,виргиния	Beckley,_West_Virginia
акиак,аляска	Akiak,_Alaska
бьюна-виста,виргиния	Buena_Vista,_Virginia
бид,город	Beed
анахайм,калифорния	Anaheim,_California
боррелло	Borrello
бласкосанчо	Blascosancho
вильямесиас	Villamesías
альбанелла	Albanella
вильяльдемиро	Villaldemiro
вентас-де-уэльма	Ventas_de_Huelma
амерсфорт	Amersfoort
бультеи	Bultei
валаклоче	Valacloche
вальдекуэнка	Valdecuenca
вальдеррабано	Valderrábano
борислав	Boryslav
вулвергемптон	Wolverhampton
аньовер-де-тахо	Añover_de_Tajo
абаде	Abadeh
вышний волочёк	Vyshny_Volochyok
вильялуэнга-де-ла-сагра	Villaluenga_de_la_Sagra
вольпельино	Volpeglino
бромберг,нижняя австрия	Bromberg,_Lower_Austria
венло	Venlo
авейль	Aweil,_South_Sudan
всеволожск	Vsevolozhsk
агуаскальентес,город	Aguascalientes,_Aguascalientes
боббио-пелличе	Bobbio_Pellice
аргайл,город	Argyle,_Minnesota
аксай,ростовская область	Aksay,_Rostov_Oblast
амбон	Ambon,_Maluku
берчето	Berceto
арта,греция	Arta,_Greece
вранов-над-топлёу	Vranov_nad_Topľou
бове	Beauvais
библ	Byblos
алькала-ла-реаль	Alcalá_la_Real
вильянуэва-де-теба	Villanueva_de_Teba
аквасанта-терме	Acquasanta_Terme
битонто	Bitonto
вильяфруэла	Villafruela
бицзе	Bijie
валье-де-лас-навас	Valle_de_las_Navas
бьюна-виста	Buena_Vista,_Virginia
бобринец	Bobrynets
белгаум	Belgaum
алегзандрия,миннесота	Alexandria,_Minnesota
войнич	Wojnicz
вудсток,миннесота	Woodstock,_Minnesota
